,,,	〇
,,.	赦
,,/	淋
,,;	欧
,,a	蛇
,,b	浩
,,c	刈
,,d	童
,,e	忍
,,f	恥
,,g	濁
,,h	坦
,,i	藍
,,j	帖
,,k	湧
,,l	訂
,,m	熔
,,n	婆
,,o	禍
,,p	稼
,,q	潤
,,r	擦
,,s	須
,,t	氷
,,u	筒
,,v	鼻
,,w	宣
,,x	拝
,,y	鶏
,,z	肥
,.	県
,/	丁
,;	諸
,a	別
,b	味
,c	遠
,d	物
,e	解
,f	然
,g	安
,h	芸
,i	縁
,j	丈
,k	輪
,l	彦
,m	貧
,n	哀
,o	模
,p	著
,q	調
,r	転
,s	会
,t	急
,u	尊
,v	空
,w	理
,x	細
,y	刀
,z	記
.,	群
..,	叱
...	§
../	糧
..;	袖
..a	到
..b	候
..c	緑
..d	曜
..e	救
..f	宏
..g	停
..h	洲
..i	駒
..j	鮫
..k	租
..l	賑
..m	侮
..n	庸
..o	爵
..p	妖
..q	諾
..r	困
..s	銃
..t	担
..u	綱
..v	為
..w	削
..x	届
..y	篤
..z	囲
./	商
.;	植
.a	的
.b	語
.c	抜
.d	国
.e	流
.f	白
.g	変
.h	寺
.i	肌
.j	康
.k	辞
.l	筋
.m	京
.n	園
.o	友
.p	故
.q	信
.r	開
.s	足
.t	戦
.u	登
.v	送
.w	苦
.x	難
.y	迷
.z	対
/,	甘
/.	恐
//,	萎
//.	磐
///	／
//;	升
//a	署
//b	稿
//c	誌
//d	刑
//e	歓
//f	紅
//g	絡
//h	臼
//i	桃
//j	詮
//k	貼
//l	禿
//m	妬
//n	享
//o	午
//p	廻
//q	威
//r	副
//s	犯
//t	奪
//u	距
//v	贈
//w	庭
//x	涼
//y	這
//z	奮
/;	油
/a	悪
/b	交
/c	死
/d	作
/e	度
/f	当
/g	色
/h	秀
/i	件
/j	児
/k	浅
/l	晴
/m	均
/n	編
/o	儀
/p	隆
/q	利
/r	勝
/s	口
/t	返
/u	領
/v	点
/w	論
/x	断
/y	七
/z	軽
0,	効
0.	慶
0/	標
0;	依
0a	光
0b	計
0c	置
0d	情
0e	退
0f	決
0g	向
0h	協
0i	旧
0j	項
0k	騒
0l	巡
0m	農
0n	仲
0o	蒸
0p	父
0q	散
0r	式
0s	絶
0t	失
0u	樹
0v	広
0w	居
0x	参
0y	課
0z	血
1,	短
1.	独
1/	必
1;	総
1a	忠
1b	創
1c	札
1d	隔
1e	毒
1f	逃
1g	煙
1h	暗
1i	声
1j	節
1k	優
1l	番
1m	閉
1n	球
1o	他
1p	博
1q	歴
1r	迫
1s	貫
1t	承
1u	激
1v	捕
1w	載
1x	竜
1y	局
1z	誘
2,	店
2.	丸
2/	首
2;	宮
2a	矢
2b	皮
2c	沼
2d	勇
2e	戻
2f	淡
2g	婦
2h	横
2i	台
2j	城
2k	花
2l	補
2m	仮
2n	豊
2o	毛
2p	完
2q	党
2r	添
2s	森
2t	了
2u	非
2v	飲
2w	述
2x	嘆
2y	辺
2z	避
3,	鉄
3.	買
3/	五
3;	組
3a	剛
3b	操
3c	境
3d	絵
3e	釈
3f	兼
3g	垂
3h	単
3i	私
3j	員
3k	今
3l	屋
3m	館
3n	周
3o	政
3p	洋
3q	捨
3r	頼
3s	偏
3t	障
3u	茶
3v	刊
3w	継
3x	測
3y	富
3z	提
4,	春
4.	規
4/	佐
4;	都
4a	尺
4b	態
4c	虫
4d	宅
4e	診
4f	訓
4g	俊
4h	両
4i	脱
4j	再
4k	種
4l	室
4m	軍
4n	賀
4o	例
4p	支
4q	昭
4r	汚
4s	危
4t	躍
4u	号
4v	系
4w	泊
4x	昇
4y	役
4z	援
5,	武
5.	円
5/	試
5;	村
5a	甲
5b	複
5c	茂
5d	隊
5e	逸
5f	探
5g	層
5h	防
5i	科
5j	門
5k	船
5l	指
5m	経
5n	雨
5o	官
5p	江
5q	九
5r	策
5s	令
5t	臭
5u	紙
5v	貸
5w	済
5x	阿
5y	敏
5z	就
6,	際
6.	週
6/	攻
6;	否
6a	打
6b	掛
6c	冷
6d	身
6e	集
6f	加
6g	治
6h	側
6i	衣
6j	幕
6k	黙
6l	個
6m	夏
6n	典
6o	技
6p	倉
6q	視
6r	薄
6s	減
6t	盛
6u	財
6v	適
6w	字
6x	表
6y	酸
6z	確
7,	霊
7.	潮
7/	灯
7;	基
7a	配
7b	熱
7c	残
7d	事
7e	得
7f	質
7g	形
7h	郷
7i	潔
7j	懸
7k	忌
7l	懐
7m	併
7n	杯
7o	医
7p	透
7q	接
7r	様
7s	思
7t	割
7u	軟
7v	止
7w	楽
7x	持
7y	邪
7z	休
8,	裕
8.	閑
8/	砂
8;	嶋
8a	増
8b	要
8c	破
8d	体
8e	画
8f	産
8g	密
8h	麗
8i	果
8j	材
8k	充
8l	識
8m	概
8n	偽
8o	板
8p	六
8q	異
8r	古
8s	結
8t	反
8u	狂
8v	選
8w	速
8x	在
8y	供
8z	検
9,	統
9.	盤
9/	帳
9;	研
9a	義
9b	報
9c	格
9d	面
9e	常
9f	精
9g	任
9h	宝
9i	左
9j	鹿
9k	採
9l	腰
9m	超
9n	穏
9o	詞
9p	競
9q	望
9r	起
9s	良
9t	弱
9u	劣
9v	満
9w	車
9x	能
9y	嫌
9z	雑
;,	条
;.	孝
;/	状
;;,	脅
;;.	坪
;;/	喫
;;;	★
;;a	希
;;b	奉
;;c	巨
;;d	譲
;;e	頑
;;f	乳
;;g	魔
;;h	誇
;;i	傑
;;j	妊
;;k	靴
;;l	醜
;;m	把
;;n	楚
;;o	謡
;;p	醸
;;q	討
;;r	警
;;s	竹
;;t	庁
;;u	炉
;;v	暖
;;w	律
;;x	句
;;y	拒
;;z	忙
;a	の
;b	明
;c	気
;d	そ
;e	よ
;f	こ
;g	お
;h	至
;i	更
;j	欠
;k	青
;l	終
;m	繁
;n	香
;o	華
;p	朝
;q	を
;r	も
;s	と
;t	ほ
;u	類
;v	下
;w	ろ
;x	入
;y	級
;z	長
a,	御
a.	原
a/	相
a;	ノ
aa,	塁
aa.	掌
aa/	迂
aa;	牡
aaa	●
aab	委
aac	肝
aad	恋
aae	冠
aaf	券
aag	謀
aah	季
aai	呆
aaj	蓄
aak	緊
aal	杉
aam	麦
aan	患
aao	弟
aap	詩
aaq	磨
aar	宗
aas	爆
aat	浪
aau	携
aav	騰
aaw	況
aax	響
aay	綿
aaz	昧
ab	押
ac	演
ad	快
ae	離
af	積
ag	職
ah	ナ
ai	ン
aj	ニ
ak	ヌ
al	ネ
am	年
an	美
ao	．
ap	・
aq	貴
ar	問
as	工
at	念
au	，
av	降
aw	現
ax	荒
ay	ー
az	暴
b,	万
b.	夜
b/	千
b;	波
ba	察
bb,	媒
bb.	掘
bb/	郡
bb;	億
bba	篭
bbb	□
bbc	肩
bbd	剥
bbe	催
bbf	殊
bbg	堪
bbh	酌
bbi	詠
bbj	企
bbk	磯
bbl	冥
bbm	滴
bbn	憶
bbo	遣
bbp	汲
bbq	遂
bbr	兆
bbs	舟
bbt	塞
bbu	姓
bbv	塗
bbw	栗
bbx	穂
bby	暫
bbz	胸
bc	興
bd	評
be	疎
bf	借
bg	触
bh	雄
bi	特
bj	神
bk	最
bl	社
bm	関
bn	赤
bo	改
bp	尾
bq	映
br	煮
bs	没
bt	従
bu	教
bv	禁
bw	慮
bx	裁
by	谷
bz	覧
c,	運
c.	値
c/	四
c;	根
ca	託
cb	易
cc,	符
cc.	馴
cc/	鍛
cc;	孤
cca	渉
ccb	鑑
ccc	↓
ccd	膜
cce	覆
ccf	揺
ccg	戒
cch	鼓
cci	臣
ccj	芝
cck	恨
ccl	沙
ccm	墜
ccn	喝
cco	霜
ccp	伯
ccq	挿
ccr	驚
ccs	閣
cct	債
ccu	剤
ccv	災
ccw	寡
ccx	累
ccy	煎
ccz	舎
cd	廃
ce	育
cf	鈍
cg	免
ch	次
ci	未
cj	素
ck	期
cl	品
cm	志
cn	共
co	男
cp	仕
cq	似
cr	伏
cs	査
ct	眠
cu	幸
cv	蔵
cw	練
cx	婚
cy	馬
cz	染
d,	不
d.	内
d/	木
d;	ソ
da	図
db	限
dc	座
dd,	趣
dd.	羊
dd/	沸
dd;	傍
dda	侵
ddb	縄
ddc	銘
ddd	◎
dde	棟
ddf	倍
ddg	還
ddh	祥
ddi	宴
ddj	拾
ddk	描
ddl	摘
ddm	殆
ddn	飽
ddo	掲
ddp	勉
ddq	荘
ddr	焦
dds	旅
ddt	凶
ddu	銭
ddv	含
ddw	啓
ddx	揃
ddy	胡
ddz	斜
de	静
df	火
dg	便
dh	サ
di	ズ
dj	シ
dk	ス
dl	セ
dm	本
dn	文
do	ゼ
dp	ゾ
dq	滅
dr	命
ds	制
dt	違
du	ジ
dv	痛
dw	替
dx	投
dy	ザ
dz	観
e,	所
e.	月
e/	家
e;	ヨ
ea	照
eb	縮
ec	税
ed	労
ee,	愉
ee.	悦
ee/	遷
ee;	垢
eea	貯
eeb	幅
eec	泥
eed	鏡
eee	↑
eef	悩
eeg	磁
eeh	愁
eei	誉
eej	軒
eek	撰
eel	翼
eem	賜
een	冊
eeo	睦
eep	灰
eeq	鎮
eer	龍
ees	殿
eet	詳
eeu	猫
eev	皇
eew	憂
eex	般
eey	盲
eez	幹
ef	復
eg	備
eh	ヤ
ei	ュ
ej	‘
ek	ユ
el	’
em	公
en	二
eo	”
ep	ョ
eq	説
er	給
es	駆
et	歩
eu	“
ev	養
ew	勢
ex	写
ey	ャ
ez	伸
f,	子
f.	多
f/	方
f;	コ
fa	換
fb	想
fc	固
fd	留
fe	消
ff,	棒
ff.	征
ff/	炊
ff;	朴
ffa	裸
ffb	巧
ffc	夢
ffd	窮
ffe	衆
fff	→
ffg	抱
ffh	銅
ffi	旨
ffj	街
ffk	跳
ffl	働
ffm	堀
ffn	吟
ffo	稽
ffp	熊
ffq	暮
ffr	拙
ffs	彩
fft	怠
ffu	漬
ffv	鉢
ffw	氏
ffx	粧
ffy	拡
ffz	監
fg	達
fh	カ
fi	グ
fj	キ
fk	ク
fl	ケ
fm	田
fn	前
fo	ゲ
fp	ゴ
fq	筆
fr	読
fs	温
ft	務
fu	ギ
fv	助
fw	弁
fx	告
fy	ガ
fz	射
g,	日
g.	間
g/	三
g;	オ
ga	殺
gb	修
gc	曲
gd	突
ge	製
gf	納
gg,	彫
gg.	甚
gg/	戯
gg;	桜
gga	徹
ggb	域
ggc	顧
ggd	菜
gge	尻
ggf	恩
ggg	○
ggh	鋼
ggi	衝
ggj	兄
ggk	乏
ggl	賎
ggm	仙
ggn	遮
ggo	功
ggp	忘
ggq	蒲
ggr	奈
ggs	究
ggt	房
ggu	涙
ggv	抗
ggw	液
ggx	淫
ggy	股
ggz	呈
gh	ア
gi	ゥ
gj	イ
gk	ウ
gl	エ
gm	山
gn	数
go	ェ
gp	ォ
gq	黒
gr	振
gs	約
gt	収
gu	ィ
gv	張
gw	話
gx	詰
gy	ァ
gz	飛
h,	活
h.	申
h/	章
h;	型
ha	な
hb	水
hc	上
hd	さ
he	や
hf	か
hg	あ
hh,	卸
hh.	拓
hh/	汰
hh;	薮
hha	織
hhb	慣
hhc	恒
hhd	珍
hhe	怪
hhf	術
hhg	築
hhh	☆
hhi	抹
hhj	嫁
hhk	需
hhl	稀
hhm	桁
hhn	匂
hho	髄
hhp	闇
hhq	脚
hhr	族
hhs	慢
hht	冬
hhu	鳩
hhv	互
hhw	融
hhx	症
hhy	暇
hhz	憎
hi	母
hj	米
hk	粗
hl	各
hm	判
hn	虚
ho	堂
hp	橋
hq	わ
hr	ま
hs	た
ht	は
hu	派
hv	生
hw	ら
hx	切
hy	星
hz	込
i,	寝
i.	版
i/	始
i;	恵
ia	ん
ib	同
ic	付
id	ず
ie	ゅ
if	ぐ
ig	ぅ
ih	瀬
ii,	晶
ii.	疾
ii/	唆
ii;	侍
iia	鮮
iib	鳴
iic	苛
iid	岸
iie	拠
iif	及
iig	寂
iih	蕩
iii	〒
iij	釣
iik	鈴
iil	罵
iim	弊
iin	填
iio	錠
iip	湾
iiq	泰
iir	尽
iis	漁
iit	緩
iiu	膳
iiv	裂
iiw	罪
iix	宜
iiy	廉
iiz	漏
ij	額
ik	題
il	益
im	懇
in	粉
io	遺
ip	林
iq	―
ir	ぷ
is	づ
it	ぶ
iu	悲
iv	心
iw	っ
ix	引
iy	我
iz	直
j,	壮
j.	歌
j/	玉
j;	羽
ja	に
jb	立
jc	一
jd	し
je	「
jf	き
jg	い
jh	整
ji	如
jj,	召
jj.	珠
jj/	蘇
jj;	阻
jja	敢
jjb	髪
jjc	展
jjd	紛
jje	争
jjf	摩
jjg	尚
jjh	遜
jji	鷹
jjj	【
jjk	賓
jjl	径
jjm	錬
jjn	潰
jjo	扇
jjp	獲
jjq	頂
jjr	陣
jjs	許
jjt	夕
jju	柿
jjv	晩
jjw	致
jjx	府
jjy	析
jjz	沈
jk	司
jl	草
jm	管
jn	善
jo	薬
jp	具
jq	ゐ
jr	み
js	ち
jt	ひ
ju	眼
jv	手
jw	り
jx	高
jy	余
jz	正
k,	則
k.	徳
k/	藤
k;	卑
ka	ぬ
kb	分
kc	大
kd	す
ke	ゆ
kf	く
kg	う
kh	士
ki	段
kj	微
kk,	揮
kk.	蓮
kk/	曽
kk;	窃
kka	盗
kkb	葬
kkc	票
kkd	舌
kke	銀
kkf	仁
kkg	魚
kkh	聡
kki	菅
kkj	齢
kkk	々
kkl	廷
kkm	昂
kkn	斗
kko	僕
kkp	繋
kkq	程
kkr	麻
kks	臨
kkt	源
kku	吾
kkv	飾
kkw	亡
kkx	悠
kky	乞
kkz	耳
kl	崎
km	逆
kn	肉
ko	豪
kp	由
kq	？
kr	む
ks	つ
kt	ふ
ku	英
kv	無
kw	る
kx	見
ky	永
kz	行
l,	寒
l.	建
l/	陽
l;	里
la	ね
lb	中
lc	出
ld	せ
le	」
lf	け
lg	え
lh	片
li	予
lj	河
lk	葉
ll,	陥
ll.	貝
ll/	曇
ll;	頻
lla	浜
llb	授
llc	占
lld	敷
lle	胆
llf	牛
llg	漢
llh	呑
lli	覇
llj	盟
llk	塵
lll	】
llm	些
lln	萌
llo	疫
llp	軌
llq	隠
llr	弘
lls	険
llt	渋
llu	翌
llv	暑
llw	滞
llx	丹
lly	睡
llz	奏
lm	並
ln	団
lo	之
lp	岡
lq	ゑ
lr	め
ls	て
lt	へ
lu	区
lv	合
lw	れ
lx	小
ly	即
lz	取
m,	湯
m.	荷
m/	岩
m;	腕
ma	動
mb	感
mc	過
md	意
me	全
mf	回
mg	実
mh	浦
mi	審
mj	随
mk	兵
ml	陸
mm,	餓
mm.	俄
mm/	椎
mm;	穴
mma	柔
mmb	朗
mmc	貨
mmd	池
mme	雲
mmf	縫
mmg	排
mmh	灼
mmi	姫
mmj	叙
mmk	韻
mml	嘱
mmm	〆
mmn	帝
mmo	蔭
mmp	咲
mmq	漫
mmr	幼
mms	跡
mmt	艦
mmu	坊
mmv	卒
mmw	乾
mmx	慰
mmy	姿
mmz	索
mn	塩
mo	封
mp	芳
mq	放
mr	好
ms	落
mt	場
mu	鋭
mv	受
mw	乗
mx	売
my	飯
mz	量
n,	吹
n.	包
n/	愚
n;	坂
na	法
nb	乱
nc	進
nd	力
ne	業
nf	通
ng	成
nh	右
ni	専
nj	秋
nk	硬
nl	堅
nm	狭
nn,	疲
nn.	嘉
nn/	悟
nn;	綴
nna	泉
nnb	賃
nnc	影
nnd	炎
